               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  46,            0.032347,            0.017323,            0.040764,             0.45096,             0.46803,             0.44486,             0.30979,            0.022177,           0.0068614,            0.039366,           0.0030391,           0.0030391,           0.0030391
                  47,            0.032916,            0.017082,            0.041089,             0.41853,             0.48404,             0.43459,             0.31159,             0.02196,           0.0069406,            0.040144,           0.0028844,           0.0028844,           0.0028844
                  48,            0.032098,            0.017257,            0.041365,             0.43866,             0.46821,             0.44855,             0.31884,            0.021659,           0.0069103,            0.039837,           0.0027297,           0.0027297,           0.0027297
                  49,            0.031878,            0.016867,            0.039932,             0.47523,             0.45543,             0.44721,             0.31651,            0.021434,           0.0069148,            0.038928,            0.002575,            0.002575,            0.002575
                  50,            0.031428,            0.016596,            0.039436,             0.46331,             0.47345,             0.45848,             0.32345,            0.021456,           0.0068959,            0.038556,           0.0024203,           0.0024203,           0.0024203
                  51,             0.03134,            0.016802,            0.038461,             0.45909,             0.47845,             0.46651,             0.33055,            0.021597,           0.0069421,            0.038565,           0.0022656,           0.0022656,           0.0022656
                  52,            0.030938,            0.016453,            0.037852,             0.49424,             0.46351,             0.46685,             0.33255,            0.021372,           0.0069077,            0.038401,           0.0021109,           0.0021109,           0.0021109
                  53,            0.030203,            0.016901,              0.0381,             0.49654,             0.46798,             0.47769,             0.34315,            0.021285,           0.0068096,            0.037312,           0.0019563,           0.0019563,           0.0019563
                  54,            0.030237,            0.016616,            0.036878,             0.48724,             0.48797,             0.47943,             0.34455,            0.021015,           0.0067897,              0.0373,           0.0018016,           0.0018016,           0.0018016
                  55,            0.030108,            0.016669,            0.036033,             0.51011,             0.47079,             0.47923,             0.34361,            0.021157,           0.0068267,            0.037397,           0.0016469,           0.0016469,           0.0016469
                  56,            0.029997,             0.01626,            0.035464,             0.47699,             0.49254,             0.48381,             0.34839,             0.02093,            0.006812,            0.037138,           0.0014922,           0.0014922,           0.0014922
                  57,            0.029334,            0.016526,            0.035498,             0.51087,             0.47114,             0.48759,             0.34903,            0.020789,           0.0068006,            0.036534,           0.0013375,           0.0013375,           0.0013375
                  58,             0.02888,            0.016321,            0.034466,             0.47764,             0.49744,             0.48863,             0.35202,            0.020954,           0.0067995,            0.037029,           0.0011828,           0.0011828,           0.0011828
                  59,            0.028595,            0.016154,            0.033895,             0.49465,             0.48913,             0.49129,             0.35481,            0.020762,           0.0067942,            0.037133,           0.0010281,           0.0010281,           0.0010281
                  60,            0.028513,            0.016254,            0.033893,             0.50036,             0.49115,             0.49364,             0.35679,            0.020862,            0.006734,            0.037114,          0.00087344,          0.00087344,          0.00087344
                  61,            0.027798,            0.016229,            0.033783,             0.49996,             0.49674,              0.4976,             0.36151,            0.020903,           0.0067718,             0.03684,          0.00071875,          0.00071875,          0.00071875
                  62,            0.027437,            0.016044,             0.03391,             0.52382,             0.48316,             0.50013,             0.36138,            0.020795,           0.0067263,             0.03684,          0.00056406,          0.00056406,          0.00056406
                  63,            0.027465,            0.015847,            0.033279,             0.51018,             0.49197,             0.50171,             0.36498,            0.020614,             0.00673,            0.036784,          0.00040938,          0.00040938,          0.00040938
