Class,X1,Y1,X2,Y2,Confidence
Cicadellidae,1.4880981,221.91748,597.08936,703.6184,0.44227558
Cicadellidae,0.0,219.84094,598.74524,704.1183,0.47472364
Cicadellidae,0.5114746,239.88971,556.4874,705.95294,0.3956127
Cicadellidae,0.0,240.35132,597.73535,716.7858,0.34117436
Cicadellidae,3.4685364,243.72931,609.05383,711.6211,0.40534875
Cicadellidae,1.3109436,247.77832,606.33093,718.2115,0.31044218
Cicadellidae,1.0909424,246.71472,602.6135,715.7869,0.33020794
Cicadellidae,0.95944214,247.38855,600.7997,714.5746,0.335598
Cicadellidae,0.93081665,241.15497,601.37634,712.75726,0.3544434
Cicadellidae,0.19537354,237.13962,601.53925,719.0668,0.5015575
Cicadellidae,2.0390015,235.57413,608.73724,713.06726,0.33610898
Cicadellidae,1.9369202,233.53998,674.35547,698.5202,0.3047283
Cicadellidae,0.7018738,232.24707,675.4595,702.9247,0.41680366
Cicadellidae,0.5951843,225.67499,691.4789,704.87854,0.41694665
Cicadellidae,0.0,228.44872,718.2578,711.6127,0.39604566
Cicadellidae,1.4781494,225.66124,732.2852,705.6771,0.36664
Cicadellidae,0.34310913,229.86462,730.8672,710.532,0.46445477
Cicadellidae,0.0,240.67126,726.4237,711.1556,0.41227868
Cicadellidae,0.0,230.63785,739.28955,720.0,0.56010276
Cicadellidae,0.0,237.20538,747.37854,720.0,0.3497604
Cicadellidae,0.0,229.65382,763.6332,720.0,0.5996404
Cicadellidae,2.8901062,224.67648,762.6322,720.0,0.5035439
Cicadellidae,2.208313,242.01065,755.4439,720.0,0.40185162
Cicadellidae,0.0,249.82794,737.4346,720.0,0.41204658
Cicadellidae,0.0,236.28693,738.9203,720.0,0.30634564
Cicadellidae,0.5939636,231.88547,744.88135,720.0,0.5544585
Cicadellidae,0.0,237.30383,752.26166,720.0,0.56970257
Cicadellidae,0.0,229.69424,766.46484,720.0,0.6276128
Cicadellidae,0.0,228.93227,782.1163,720.0,0.4542807
Cicadellidae,0.6241455,224.87152,788.0365,720.0,0.43786332
Cicadellidae,2.1222534,220.95589,777.9635,720.0,0.50754684
Cicadellidae,0.0,226.05038,788.70325,720.0,0.5448067
Cicadellidae,0.0,233.21545,787.2682,720.0,0.5114453
Cicadellidae,0.0,226.02484,791.3225,720.0,0.59507036
Cicadellidae,0.0,224.25253,778.60504,719.3694,0.5783398
Cicadellidae,4.3279724,218.6036,785.306,720.0,0.5351939
Cicadellidae,4.264679,221.93088,781.478,720.0,0.6252586
Cicadellidae,1.4108582,220.70343,777.2781,720.0,0.5484892
Cicadellidae,0.35809326,220.11665,779.0269,720.0,0.56620234
Cicadellidae,1.0803833,231.13266,778.0584,720.0,0.5845296
Cicadellidae,0.0,225.55678,764.67816,720.0,0.63164866
Cicadellidae,0.0,221.60286,767.0477,720.0,0.6553837
Cicadellidae,0.7015991,221.4501,777.9566,720.0,0.60029835
Cicadellidae,0.0,235.59409,776.4884,720.0,0.5342511
Cicadellidae,0.0,235.13919,781.228,720.0,0.45043707
Cicadellidae,0.0,227.58267,789.92224,720.0,0.500578
Cicadellidae,0.0,235.5727,781.3993,720.0,0.46079013
Cicadellidae,0.0,240.01514,794.6384,720.0,0.30753958
Cicadellidae,0.0,238.67245,789.449,720.0,0.49635354
Cicadellidae,7.5149536,243.75403,796.0197,710.2943,0.49290243
Cicadellidae,21.01117,246.59192,803.6422,710.23676,0.46658942
Cicadellidae,25.647491,245.93088,804.36145,712.3989,0.44416744
Cicadellidae,23.988922,249.9784,802.1244,712.904,0.43672007
Cicadellidae,12.782654,244.63574,795.00165,709.85144,0.51720554
Cicadellidae,6.8198853,242.56345,797.08154,712.19055,0.43171322
Cicadellidae,10.9644165,242.85516,796.9244,712.1945,0.39202043
